Location ID,Suburb,Address,Post Code,GPS Lat,GPS Long,Job ID,Field Technician ID
534,Surfers Paradise,9 Beach Road,4217,-28.0026147,153.427622,C1851234,5241
535,Main Beach,Seaworld Drive,4217,-27.9670886,153.4269858,C1851279,1049
536,Surfers Paradise,Gold Coast Highway and Staghorn Street,4217,-28.0011707,153.4283167,C1851283,1049
537,Surfers Paradise,Gold Coast Highway and Staghorn Street,4217,-28.0011707,153.4283167,C1851283,5467
538,Southport,Nerang and Cougal Streets,4215,-27.97126891,153.4072968,C1851353,29535
539,Labrador,212-214 Marine Parade,4215,-27.95289618,153.4092721,C1851358,5320
540,Southport,326 Marine Parade,4215,-27.9560361,153.4096651,C1851364,29535
541,Surfers Paradise,3-15 Orchid Avenue,4217,-28.0008978,153.4295646,C1851413,5241
542,Mudgeeraba,Somerset Drive and Springbrook Road,4213,-28.0229543,153.3477387,C1851436,5237
543,Surfers Paradise,4 The Esplanade,4217,-28.00802913,153.4178795,C1851524,5241
544,Coolangatta,1 Tweed Terrace,4225,-28.1649735,153.5505646,C1851528,1049
